"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"ORQGZKEA","discount_code","fixed_amount","order",-100,1,495.65,0,408.7,0,61.3,470
"PQNTTR4D","discount_code","percentage","order",-52,1,452.17,0,406.96,0,61.04,468
"EGDXFISN","discount_code","fixed_amount","order",-136,1,521.74,0,403.48,0,60.52,464
"V6VM4CE3","discount_code","fixed_amount","order",-300,1,660.86,0,400,0,60,460
"Z0STMQMT","discount_code","fixed_amount","order",-148,1,521.73,0,393.04,0,58.96,452
"KALOGQHS","discount_code","fixed_amount","order",-40,1,426.07,0,391.3,0,58.7,450
"EU1YQNWS","discount_code","fixed_amount","order",-500,1,826.07,0,391.3,0,58.7,450
"Happy Hour Discount-2026-02-01T22:00:00Z","automatic","percentage","order",-78.75,1,456.51,0,388.04,0,58.21,446.25
"B7WJ3UMJ","discount_code","fixed_amount","order",-19,1,400,0,383.48,0,57.52,441
"FUDIZGYA","discount_code","fixed_amount","order",-312,1,652.16,0,380.87,0,57.13,438
"DLO5PLGJ","discount_code","fixed_amount","order",-90,1,456.52,0,378.26,0,56.74,435
"JWCDE066","discount_code","fixed_amount","order",-135,1,495.65,0,378.26,0,56.74,435
"ANGDM0GZ","discount_code","fixed_amount","order",-100,1,456.51,0,369.57,0,55.43,425
"JWOKV7O2","discount_code","fixed_amount","order",-500,1,800,0,365.22,0,54.78,420
"J7EDQ67E","discount_code","percentage","order",-46,1,400,0,360,0,54,414
"HFM6TICX","discount_code","fixed_amount","order",-157,1,495.65,0,359.13,0,53.87,413
"Welcome back","manual","percentage",,-45,1,391.3,0,352.17,0,52.83,405
"LFW4S7C7","discount_code","fixed_amount","order",-48,1,391.3,0,349.57,0,52.43,402
"OW6KQLTH","discount_code","fixed_amount","order",-100,1,434.77,0,347.83,0,52.17,400
"0RCU6R8J","discount_code","fixed_amount","order",-100,1,434.78,0,347.83,0,52.17,400
"WEJSFV4K","discount_code","fixed_amount","order",-100,1,434.78,0,347.83,0,52.17,400
"PICVGGS0","discount_code","fixed_amount","order",-192,1,495.65,0,328.7,0,49.3,378
"XUAKCQRE","discount_code","fixed_amount","order",-200,1,495.64,0,321.74,0,48.26,370
"3HHZWLAZ","discount_code","fixed_amount","order",-200,1,495.65,0,321.74,0,48.26,370
"IGH7OSPG","discount_code","fixed_amount","order",-200,1,570,0,370,0,0,370
"Containers recycled","manual","fixed_amount",,-10,1,330.43,0,321.74,0,48.26,370
"BAKSAX2H","discount_code","fixed_amount","order",-67,1,373.9,0,315.65,0,47.35,363
"GS8QPQ53","discount_code","fixed_amount","order",-20,1,330.43,0,313.04,0,46.96,360
"KYWCMUVA","discount_code","fixed_amount","order",-500,1,747.81,0,313.04,0,46.96,360
"LYKBRICU","discount_code","fixed_amount","order",-23,1,330.44,0,310.44,0,46.56,357
"LS1BGPI8","discount_code","fixed_amount","order",-100,1,395.65,0,308.7,0,46.3,355
"1U8LWHBW","discount_code","fixed_amount","order",-100,1,395.65,0,308.7,0,46.3,355
"2MAZF4YI","discount_code","fixed_amount","order",-100,1,391.3,0,304.35,0,45.65,350
"L6OKACOM","discount_code","fixed_amount","order",-40,1,330.43,0,295.65,0,44.35,340
"Happy Hour Discount-2026-01-27T22:00:00Z","automatic","percentage","order",-60,1,347.81,0,295.65,0,44.35,340
"E3AUER5Y","discount_code","fixed_amount","order",-41,1,330.43,0,294.78,0,44.22,339
"QVO7FAIT","discount_code","fixed_amount","order",-200,1,465.2,0,291.3,0,43.7,335
"A4AHBHOV","discount_code","fixed_amount","order",-50,1,330.42,0,286.96,0,43.04,330
"WNKFMWXF","discount_code","fixed_amount","order",-100,1,369.55,0,282.61,0,42.39,325
"Happy Hour Discount-2026-01-17T22:00:00Z","automatic","percentage","order",-57,1,330.43,0,280.87,0,42.13,323
"T64X41IT","discount_code","fixed_amount","order",-260,1,495.66,0,269.57,0,40.43,310
"9PUIAEET","discount_code","fixed_amount","order",-100,1,347.82,0,260.87,0,39.13,300
"70DFLSZK","discount_code","fixed_amount","order",-100,1,347.82,0,260.87,0,39.13,300
"JWVSI1VB","discount_code","fixed_amount","order",-100,1,347.82,0,260.87,0,39.13,300
"3MUDGMYO","discount_code","fixed_amount","order",-100,1,347.82,0,260.87,0,39.13,300
"H8QUQRNB","discount_code","fixed_amount","order",-100,1,343.47,0,256.52,0,38.48,295
"D7QO5SM1","discount_code","fixed_amount","order",-377,1,582.6,0,254.78,0,38.22,293
"NEY67TU5","discount_code","fixed_amount","order",-200,1,465.21,0,247.61,0,37.14,284.75
"5ZZGL6NR","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"BPAD2V1A","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"XHFJQUGL","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"WTFU4GVX","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"2GPOYTMB","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"For 4 containers","manual","fixed_amount",,-20,1,300,0,280,0,0,280
"CM12KNH6","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"VXRFV3JQ","discount_code","fixed_amount","order",-100,1,380,0,280,0,0,280
"CLVAUSWG","discount_code","fixed_amount","order",-100,1,330.42,0,243.48,0,36.52,280
"OU6VLDXH","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"QXHD48NC","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"MMOZWYCM","discount_code","fixed_amount","order",-100,1,330.43,0,243.48,0,36.52,280
"5UYCVM6C","discount_code","fixed_amount","order",-200,1,413.03,0,239.13,0,35.87,275
"TCDJNWGU","discount_code","fixed_amount","order",-1000,1,1104.32,0,234.78,0,35.22,270
"UUXCIW7U","discount_code","fixed_amount","order",-132,1,347.81,0,233.04,0,34.96,268
"H37SNN0T","discount_code","fixed_amount","order",-100,1,365,0,265,0,0,265
"NMB6G7UM","discount_code","fixed_amount","order",-116,1,330.42,0,229.57,0,34.43,264
"YXZA8I7J","discount_code","fixed_amount","order",-500,1,660.87,0,226.09,0,33.91,260
"GAB6VS5W","discount_code","fixed_amount","order",-200,1,460,0,260,0,0,260
"AZTYGFCI","discount_code","fixed_amount","order",-500,1,660.87,0,226.09,0,33.91,260
